run,position_band,real_events,generated_events,real_customers,generated_customers,merchant_category_tv,real_pair_absent_from_fit,generated_pair_absent_from_fit,real_frauds,real_fraud_rate,generated_frauds,generated_fraud_rate
native_20260928/generated_synthetic_20261012,2,9180,8897,135,134,0.7324499115145665,0.0,0.7277734067663257,81,0.008823529411764706,61,0.00685624367764415
native_20260928/generated_synthetic_20261012,3,53970,51019,135,129,0.7316264196596105,0.0,0.730786569709324,473,0.008764128219381138,165,0.0032340892608635997
native_20260928/generated_synthetic_20261012,4,110395,120293,131,124,0.7300187145488295,0.0,0.729161297831129,437,0.003958512613795914,162,0.0013467117787402426
native_20260928/generated_validation_20261011,0,147,147,147,147,0.8843537414965983,0.0,0.6462585034013606,12,0.08163265306122448,67,0.4557823129251701
native_20260928/generated_validation_20261011,1,4305,4253,147,147,0.7281027834966805,0.0,0.7143193040206913,143,0.03321718931475029,584,0.13731483658593935
native_20260928/generated_validation_20261011,2,9180,8794,135,131,0.7300866653486755,0.0,0.7258357971344098,81,0.008823529411764706,189,0.0214919263133955
native_20260928/generated_validation_20261011,3,53970,50743,135,128,0.7304026651635043,0.0,0.7302682143349821,473,0.008764128219381138,214,0.004217330469227283
native_20260928/generated_validation_20261011,4,110395,125452,131,126,0.7314571108543502,0.0,0.7311003411663425,437,0.003958512613795914,239,0.001905111118196601
native_20260928/generated_validation_20261012,0,147,147,147,147,0.8435374149659861,0.0,0.673469387755102,12,0.08163265306122448,67,0.4557823129251701
native_20260928/generated_validation_20261012,1,4305,4228,147,147,0.722354262331649,0.0,0.7060075685903501,143,0.03321718931475029,629,0.1487701040681173
native_20260928/generated_validation_20261012,2,9180,8683,135,130,0.7319570056131016,0.0,0.726131521363584,81,0.008823529411764706,93,0.01071058389957388
native_20260928/generated_validation_20261012,3,53970,50447,135,127,0.7332605366647336,0.0,0.732828513092949,473,0.008764128219381138,153,0.003032885999167443
native_20260928/generated_validation_20261012,4,110395,121336,131,123,0.7347933445014347,0.0,0.734143205643832,437,0.003958512613795914,121,0.0009972308300916462
native_20260929/generated_synthetic_20261011,0,147,147,147,147,0.9047619047619044,0.0,0.7006802721088435,12,0.08163265306122448,52,0.35374149659863946
native_20260929/generated_synthetic_20261011,1,4305,4203,147,147,0.7613788392396007,0.0,0.748275041636926,143,0.03321718931475029,669,0.15917201998572447
native_20260929/generated_synthetic_20261011,2,9180,8649,135,129,0.7807628219515346,0.0,0.779743322927506,81,0.008823529411764706,87,0.010058966354491848
