run,position_band,real_events,generated_events,real_customers,generated_customers,merchant_category_tv,real_pair_absent_from_fit,generated_pair_absent_from_fit,real_frauds,real_fraud_rate,generated_frauds,generated_fraud_rate
order_event_is_fraud_relaxed_20260928/generated_validation_20261012,0,143,143,143,143,0.9090909090909091,0.0,0.6503496503496503,11,0.07692307692307693,27,0.1888111888111888
order_event_is_fraud_relaxed_20260928/generated_validation_20261012,1,4204,4187,143,143,0.6557114506706795,0.0,0.6288512061141629,135,0.032112274024738346,287,0.06854549796990686
order_event_is_fraud_relaxed_20260928/generated_validation_20261012,2,8976,8812,132,131,0.6596508326435431,0.0,0.64593735814798,81,0.009024064171122994,15,0.001702224239673173
order_event_is_fraud_relaxed_20260928/generated_validation_20261012,3,52770,51291,132,129,0.6552410296557883,0.0,0.6536819325027783,458,0.00867917377297707,55,0.0010723128814021953
order_event_is_fraud_relaxed_20260928/generated_validation_20261012,4,108786,118425,128,127,0.6559029464765884,0.0,0.6540933080008444,430,0.003952714503704521,75,0.0006333122229259025
order_event_is_fraud_relaxed_20260929/generated_validation_20261011,0,143,143,143,143,0.846153846153846,0.0,0.3916083916083916,11,0.07692307692307693,25,0.17482517482517482
order_event_is_fraud_relaxed_20260929/generated_validation_20261011,1,4204,4283,143,143,0.47985030544717644,0.0,0.38360961942563626,135,0.032112274024738346,440,0.1027317300957273
order_event_is_fraud_relaxed_20260929/generated_validation_20261011,2,8976,9060,132,134,0.4459133111402298,0.0,0.39282560706401765,81,0.009024064171122994,157,0.017328918322295807
order_event_is_fraud_relaxed_20260929/generated_validation_20261011,3,52770,52640,132,132,0.41367664876481236,0.0,0.3962765957446808,458,0.00867917377297707,76,0.0014437689969604864
order_event_is_fraud_relaxed_20260929/generated_validation_20261011,4,108786,143268,128,129,0.4144841627306022,0.0,0.39576178909456405,430,0.003952714503704521,60,0.0004187955440154117
